userId,activityId,rating
1,1,4.0
1,2,3.0
1,3,2.0
1,4,5.0
1,5,5.0
1,6,1.0
1,7,1.0
1,8,4.0
1,9,4.0
1,11,4.0
1,12,3.0
1,13,5.0
1,14,2.0
1,18,2.0
1,19,5.0
1,20,5.0
1,22,5.0
1,23,5.0
1,24,5.0
1,26,5.0
1,27,5.0
1,28,5.0
1,29,5.0
1,30,5.0
1,31,5.0
1,32,5.0
1,33,5.0
1,34,2.0
1,36,1.0
1,37,2.0
1,38,1.0
1,39,5.0
1,42,5.0
1,46,5.0
1,47,4.5
1,49,4.0
1,50,5.0
1,51,3.0
1,52,3.0
1,56,1.0
1,57,4.0
2,1,3
2,2,3
2,3,5
2,4,2
2,5,5
2,6,1
2,7,1
2,8,2
2,9,1
2,10,3
2,11,5
2,12,5
2,13,5
2,14,4
2,15,5
2,16,3
2,17,3
2,18,2
2,19,2
2,20,3
2,21,2
2,22,5
2,23,5
2,24,5
2,25,5
2,26,2
2,27,4
2,28,5
2,29,5
2,30,5
2,31,5
2,32,4
2,33,5
2,34,5
2,35,3
2,36,4
2,37,3
2,38,3
2,39,5
2,40,2
2,43,1
2,44,1
2,46,2
2,47,3
2,50,2
2,53,5
2,54,5
2,55,2
2,56,4
2,57,4
3,1,4.0
3,2,3.0
3,3,1.0
3,4,3.5
3,5,4.0
3,6,1.5
3,7,1.0
3,8,1.0
3,9,1.0
3,11,4.0
3,12,3.0
3,13,5.0
3,14,5.0
3,15,1.5
3,16,1.0
3,17,1.5
3,18,1.0
3,20,2.0
3,22,1.5
3,23,3.0
3,24,4.0
3,25,1.5
3,26,4.0
3,27,2.0
3,28,4.0
3,31,3.0
3,32,1.0
3,33,1.0
3,34,1.0
3,35,1.0
3,36,1.0
3,37,2.0
3,38,1.5
3,39,3.0
3,40,5.0
3,43,1.0
3,44,1.0
3,46,2.0
3,47,5.0
3,50,5.0
3,56,4.0
3,57,3.0
4,1,4.0
4,2,5.0
4,3,3.0
4,4,4.0
4,5,2.0
4,6,4.5
4,7,2.5
4,8,1.5
4,10,1.5
4,11,5.0
4,12,5.0
4,13,5.0
4,14,5.0
4,15,5.0
4,16,3.0
4,17,4.5
4,18,4.0
4,19,4.0
4,20,5.0
4,21,4.5
4,22,5.0
4,23,4.0
4,24,5.0
4,25,3.0
4,26,5.0
4,27,5.0
4,28,2.0
4,29,5.0
4,30,4.0
4,31,3.0
4,32,5.0
4,33,4.0
4,34,3.0
4,35,2.0
4,36,3.5
4,37,4.5
4,38,3.5
4,39,2.0
4,40,2.5
4,41,2.5
4,43,2.0
4,44,3.5
4,45,4.0
4,46,4.0
4,49,3.0
4,51,5.0
4,52,4.0
4,53,4.0
4,54,3.0
4,55,1.5
4,56,5.0
4,57,4.5
5,1,4.0
5,3,5.0
5,4,4.0
5,5,3.0
5,6,4.0
5,7,1.0
5,9,3.5
5,12,3.5
5,13,5.0
5,14,2.0
5,15,3.0
5,19,4.0
5,20,5.0
5,21,2.0
5,24,5.0
5,25,3.5
5,26,5.0
5,27,5.0
5,28,5.0
5,29,5.0
5,30,3.0
5,31,3.5
5,32,2.5
5,33,4.0
5,34,1.0
5,35,1.0
5,36,1.0
5,37,2.5
5,38,1.0
5,39,5.0
5,46,3.5
5,47,5.0
5,52,3.0
5,53,5.0
5,54,3.0
5,55,3.0
5,56,5.0
5,57,2.0
6,1,5.0
6,2,2.0
6,3,3.0
6,5,4.0
6,6,5.0
6,7,4.0
6,8,1.0
6,10,5.0
6,11,5.0
6,12,4.0
6,13,5.0
6,14,4.0
6,15,5.0
6,16,5.0
6,17,4.0
6,18,3.0
6,19,2.0
6,20,2.0
6,22,2.0
6,23,4.0
6,24,5.0
6,25,2.0
6,26,1.0
6,27,3.0
6,28,2.0
6,29,4.0
6,30,4.0
6,31,4.0
6,32,4.0
6,33,4.0
6,34,4.0
6,35,2.0
6,36,3.0
6,37,2.0
6,38,3.0
6,39,3.0
6,40,4.0
6,43,1.0
6,46,3.0
6,47,4.0
6,49,5.0
6,50,3.0
6,51,1.0
6,52,1.0
6,53,2.5
6,54,2.0
6,55,3.0
6,56,5.0
6,57,5.0
7,1,4
7,2,1
7,3,4
7,5,1
7,6,5
7,7,5
7,8,4
7,9,3
7,10,1
7,11,1
7,12,5
7,13,5
7,14,5
7,15,3
7,16,1
7,17,1
7,18,2
7,19,2
7,20,2
7,22,3
7,23,2
7,24,4
7,25,2
7,26,4
7,27,5
7,28,3
7,29,5
7,30,4
7,31,3
7,32,4
7,33,3
7,34,3
7,35,1
7,36,5
7,37,4
7,38,4
7,39,4
7,47,4
7,48,3
7,49,1
7,51,5
7,52,4
7,56,5
7,57,4
8,1,5
8,2,5
8,3,5
8,5,4
8,6,2
8,7,2
8,11,5
8,12,5
8,13,4
8,14,4
8,15,4
8,16,3
8,17,2
8,18,1
8,19,1
8,20,1
8,22,3
8,23,4
8,24,5
8,31,5
8,32,4
8,33,4
8,34,4
8,35,4
8,36,4
8,37,4
8,38,4
8,40,3
8,41,1
8,42,1
8,43,1
8,44,1
8,45,1
8,46,1
8,49,5
8,50,5
8,53,5
8,54,5
8,55,2
8,56,3
8,57,3
9,1,4
9,2,2
9,3,4
9,4,5
9,5,2
9,6,5
9,7,5
9,8,1
9,9,1
9,10,5
9,11,5
9,12,3
9,13,5
9,14,5
9,15,3
9,16,3
9,17,2
9,18,3
9,19,3
9,20,5
9,21,1
9,22,2
9,23,4
9,24,5
9,25,1
9,26,2
9,27,1
9,28,5
9,29,5
9,30,5
9,31,4
9,32,4
9,33,3
9,34,3
9,35,2
9,36,1
9,37,1
9,38,1
9,39,1
9,40,1
9,41,2
9,42,1
9,44,3
9,46,4
9,50,3
9,51,1
9,52,1
9,53,5
9,54,5
9,55,5
9,56,5
9,57,5
10,1,5
10,2,5
10,3,5
10,4,3
10,5,4
10,6,3
10,7,2
10,8,3
10,10,4
10,11,2
10,12,1
10,13,5
10,14,4
10,15,1
10,17,3
10,18,5
10,19,3
10,20,4
10,21,5
10,22,3
10,23,3
10,24,5
10,25,4
10,26,3
10,27,5
10,28,3
10,29,3
10,30,4
10,31,5
10,32,2
10,33,2
10,34,3
10,35,5
10,36,4
10,37,3
10,38,1
10,39,4
10,42,3
10,46,3
10,50,3
10,52,2
10,53,3
10,54,3
10,55,3
10,56,4
10,57,3
11,1,5
11,2,3
11,3,5
11,4,3
11,5,5
11,6,5
11,7,5
11,8,4
11,9,3
11,11,2
11,12,1
11,13,5
11,14,5
11,15,4
11,16,1
11,18,5
11,19,5
11,20,5
11,21,5
11,22,3
11,23,2
11,24,3
11,25,2
11,26,5
11,27,5
11,28,5
11,29,4
11,30,5
11,31,5
11,32,3
11,33,5
11,34,4
11,35,5
11,36,4
11,37,2
11,38,2
11,39,3
11,44,4
11,46,2
11,47,4
11,50,2
11,51,2
11,52,4
11,56,5
11,57,5
12,1,4
12,2,2
12,3,3
12,4,3
12,5,3
12,6,2
12,7,2
12,8,3
12,10,3
12,11,4
12,12,4
12,13,4
12,14,4
12,15,4
12,16,3
12,17,3
12,18,4
12,19,4
12,20,4
12,21,3
12,22,4
12,23,4
12,24,4
12,27,3
12,29,4
12,30,4
12,31,4
12,32,4
12,33,4
12,34,4
12,35,4
12,36,4
12,37,2
12,38,3
12,39,3
12,40,4
12,43,4
12,50,4
12,53,1
12,54,1
12,55,1
12,56,3
12,57,4
13,1,5.0
13,2,3.0
13,3,5.0
13,4,3.0
13,5,4.0
13,6,4.5
13,7,4.5
13,8,3.0
13,10,3.5
13,11,5.0
13,12,5.0
13,13,5.0
13,14,5.0
13,15,5.0
13,16,5.0
13,17,3.0
13,18,3.5
13,19,3.0
13,20,4.0
13,21,2.0
13,22,3.5
13,23,5.0
13,24,5.0
13,26,4.0
13,27,4.0
13,29,5.0
13,30,5.0
13,31,5.0
13,32,5.0
13,33,5.0
13,34,5.0
13,35,3.5
13,36,5.0
13,37,4.0
13,38,3.5
13,39,3.5
13,47,5.0
13,48,2.0
13,50,3.5
13,51,4.0
13,54,1.0
13,55,1.0
13,56,1.0
13,57,5.0
14,1,4
14,2,3
14,3,4
14,4,2
14,5,4
14,6,3
14,7,3
14,8,3
14,10,4
14,11,4
14,12,4
14,13,4
14,14,4
14,15,4
14,16,1
14,17,2
14,18,3
14,19,3
14,20,4
14,21,2
14,22,4
14,23,4
14,24,4
14,25,3
14,26,2
14,27,3
14,28,4
14,29,4
14,30,4
14,31,4
14,32,4
14,33,2
14,34,4
14,35,4
14,36,4
14,37,2
14,38,2
14,39,3
14,40,1
14,44,3
14,50,3
14,51,1
14,52,1
14,53,4
14,54,3
14,55,4
14,56,4
14,57,4
15,1,3
15,2,2
15,3,4
15,4,2
15,5,4
15,6,4
15,7,4
15,8,1
15,10,5
15,11,5
15,12,2
15,13,5
15,14,5
15,15,3
15,16,1
15,17,1
15,18,5
15,19,5
15,20,5
15,21,1
15,22,3
15,23,3
15,24,4
15,27,1
15,29,4
15,30,4
15,31,5
15,32,5
15,33,5
15,34,5
15,35,5
15,36,5
15,37,5
15,38,2
15,39,3
15,40,1
15,50,1
15,54,1
15,55,1
15,56,4
15,57,4
